course_id,crn,subject,course,section,campus,credits,title,days,start_time,end_time,capacity,accounted,remaining,wl_capacity,wl_accounted,wl_remaining,xl_capacity,xl_accounted,xl_remaining,instructor_fname,instructor_lname,instructor_id,start_date,end_date,location,attribute,score,days2,start_time2,end_time2,start_date2,end_date2,days3,start_time3,end_time3,start_date3,end_date3,days4,start_time4,end_time4,start_date4,end_date4,days5,start_time5,end_time5,start_date5,end_date5,days6,start_time6,end_time6,start_date6,end_date6,days7,start_time7,end_time7,start_date7,end_date7,days8,start_time8,end_time8,start_date8,end_date8,days9,start_time9,end_time9,start_date9,end_date9,days10,start_time10,end_time10,start_date10,end_date10,days11,start_time11,end_time11,start_date11,end_date11,crse_avg,crse_a,crse_b,crse_c,crse_d,crse_e
23,20393,ACC,296,0,M1,3,The Accounting Cycle &amp; Profess,TR,11:30 am,12:45 pm,28,28,0,99,0,99,0,0,0,Daniel,Brickner,NULL,01/04,04/25,OWEN 218,&nbsp;,3.59707774799,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
24,20969,ACC,296,1,M1,3,The Accounting Cycle &amp; Profess,TR,02:30 pm,03:45 pm,28,17,11,99,0,99,0,0,0,Daniel,Brickner,NULL,01/04,04/25,OWEN 218,&nbsp;,3.59707774799,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,20968,ACC,296,2,M1,3,The Accounting Cycle &amp; Profess,MW,05:00 pm,06:15 pm,28,27,1,99,0,99,0,0,0,Anthony,Kurek,NULL,01/04,04/25,OWEN 222,&nbsp;,3.67307692308,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
26,20394,ACC,340,0,M1,3,Intermediate Accounting I,M,06:30 pm,09:10 pm,25,15,10,99,0,99,0,0,0,James,Sundberg,NULL,01/04,04/25,OWEN 110,&nbsp;,3.35230769231,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27,20395,ACC,340,1,M1,3,Intermediate Accounting I,TR,01:00 pm,02:15 pm,25,26,-1,99,0,99,0,0,0,Philip,Lewis,NULL,01/04,04/25,OWEN 218,&nbsp;,3.29802228412,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28,20838,ACC,340,2,M1,3,Intermediate Accounting I,TR,05:00 pm,06:15 pm,25,19,6,99,0,99,0,0,0,Philip,Lewis,NULL,01/04,04/25,OWEN 218,&nbsp;,3.29802228412,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
29,20396,ACC,342,0,M1,3,Managerial Cost Accounting,TR,01:00 pm,02:15 pm,25,17,8,99,0,99,0,0,0,Jens,Stephan,NULL,01/04,04/25,OWEN 102,&nbsp;,3.70226277372,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30,21329,ACC,342,1,M1,3,Managerial Cost Accounting,TR,02:30 pm,03:45 pm,25,22,3,99,0,99,0,0,0,Jens,Stephan,NULL,01/04,04/25,OWEN 102,&nbsp;,3.70226277372,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
31,21386,ACC,342,2,M1,3,Managerial Cost Accounting,W,06:30 pm,09:10 pm,25,21,4,99,0,99,0,0,0,Anthony,Kurek,NULL,01/04,04/25,OWEN 222,&nbsp;,3.71277602524,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
32,22986,ACC,344,0,M1,3,Principles of Taxation,MW,10:00 am,11:15 am,25,25,0,99,5,94,0,0,0,TBA,TBA,NULL,01/04,04/25,OWEN 228,&nbsp;,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
33,20397,ACC,356,0,M1,3,Accounting Information Systems,MW,02:30 pm,03:45 pm,25,28,-3,99,0,99,0,0,0,Priyanka,Meharia,NULL,01/04,04/25,OWEN 301M,&nbsp;,3.05719387755,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
34,20398,ACC,356,1,M1,3,Accounting Information Systems,M,06:30 pm,09:10 pm,25,23,2,99,0,99,0,0,0,Priyanka,Meharia,NULL,01/04,04/25,OWEN 301O,&nbsp;,3.05719387755,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35,24857,ACC,358,0,M1,3,Financial Statements Analysis,M,06:30 pm,09:10 pm,25,27,-2,99,0,99,0,0,0,Rolland,Cooper,NULL,01/04,04/25,OWEN 222,&nbsp;,3.48606770833,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
36,20399,ACC,450,0,M1,3,Internal Auditing,TR,02:30 pm,03:45 pm,25,26,-1,99,0,99,0,0,0,D,Okopny,NULL,01/04,04/25,OWEN 110,&nbsp;,2.48082191781,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
37,21814,ACC,460,0,M1,3,Principles of Fraud Examinatio,TR,05:00 pm,06:15 pm,15,14,1,99,1,98,25,25,0,D,Okopny,NULL,01/04,04/25,OWEN 110,&nbsp;,2.59346846847,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38,22964,ACC,475,0,M1,3,International Accounting,W,06:30 pm,09:10 pm,5,8,-3,99,1,98,20,20,0,Elizabeth,Devos,NULL,01/04,04/25,OWEN 228,&nbsp;,2.96319148936,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
